States,Country, Date, Frequency, Estimated Unemployment Rate, Estimated Employed, Estimated Labour Participation Rate ,Region,longitude,latitude
Himachal Pradesh,India, 31-10-2018, M,13.11,2216312,43.24,North,31.1048,77.1734
Himachal Pradesh,India, 30-11-2018, M,19.09,2327363,48.68,North,31.1048,77.1734
Himachal Pradesh,India, 31-12-2018, M,18.82,2243346,46.69,North,31.1048,77.1734
Himachal Pradesh,India, 31-01-2019, M,13.89,2298753,45.03,North,31.1048,77.1734
Himachal Pradesh,India, 28-02-2019, M,13.82,2226496,43.51,North,31.1048,77.1734
Himachal Pradesh,India, 31-03-2019, M,18.79,2183648,45.22,North,31.1048,77.1734
Himachal Pradesh,India, 30-04-2019, M,19.64,2216624,46.31,North,31.1048,77.1734
Himachal Pradesh,India, 31-05-2019, M,13.38,2291429,44.34,North,31.1048,77.1734
Himachal Pradesh,India, 30-06-2019, M,12.63,2194657,42.03,North,31.1048,77.1734
Himachal Pradesh,India, 31-07-2019, M,20.69,2152718,45.35,North,31.1048,77.1734
Himachal Pradesh,India, 31-08-2019, M,19.24,2205562,45.55,North,31.1048,77.1734
Himachal Pradesh,India, 30-09-2019, M,15.57,2287014,45.11,North,31.1048,77.1734
Himachal Pradesh,India, 31-10-2019, M,16.74,2179279,43.51,North,31.1048,77.1734
Himachal Pradesh,India, 30-11-2019, M,23.34,2257438,48.87,North,31.1048,77.1734
Himachal Pradesh,India, 31-12-2019, M,20.16,2164186,44.91,North,31.1048,77.1734
Himachal Pradesh,India, 31-01-2020, M,16.83,2287632,45.5,North,31.1048,77.1734
Himachal Pradesh,India, 29-02-2020, M,16.84,2180268,43.3,North,31.1048,77.1734
Himachal Pradesh,India, 31-03-2020, M,18.76,2021858,41.04,North,31.1048,77.1734
Himachal Pradesh,India, 30-04-2020, M,2.2,1131128,19.04,North,31.1048,77.1734
Himachal Pradesh,India, 31-05-2020, M,26.95,1897639,42.7,North,31.1048,77.1734
Himachal Pradesh,India, 30-06-2020, M,13.47,2199683,41.72,North,31.1048,77.1734
Himachal Pradesh,India, 31-07-2020, M,24.31,2229456,48.25,North,31.1048,77.1734
Himachal Pradesh,India, 31-08-2020, M,15.79,2029740,39.42,North,31.1048,77.1734
Himachal Pradesh,India, 30-09-2020, M,11.41,2240699,41.3,North,31.1048,77.1734
Himachal Pradesh,India, 31-10-2020, M,13.46,2123965,40.01,North,31.1048,77.1734
Himachal Pradesh,India, 30-11-2020, M,15.86,1968783,38.08,North,31.1048,77.1734
Himachal Pradesh,India, 31-12-2020, M,7.86,2174653,38.35,North,31.1048,77.1734
Himachal Pradesh,India, 31-01-2021, M,11.55,2248174,41.23,North,31.1048,77.1734
Himachal Pradesh,India, 28-02-2021, M,15.57,2075852,39.83,North,31.1048,77.1734
Himachal Pradesh,India, 31-03-2021, M,14.24,1927818,36.35,North,31.1048,77.1734
Himachal Pradesh,India, 30-04-2021, M,11.06,2000101,36.31,North,31.1048,77.1734
Himachal Pradesh,India, 31-05-2021, M,7.72,2226706,38.89,North,31.1048,77.1734
Himachal Pradesh,India, 30-06-2021, M,16.89,1952465,37.8,North,31.1048,77.1734
Himachal Pradesh,India, 31-07-2021, M,14.98,2025194,38.27,North,31.1048,77.1734
Himachal Pradesh,India, 31-08-2021, M,3.74,2095797,34.92,North,31.1048,77.1734
Himachal Pradesh,India, 30-09-2021, M,8.68,1939804,34.01,North,31.1048,77.1734
Himachal Pradesh,India, 31-10-2021, M,14.05,1907142,35.47,North,31.1048,77.1734
Himachal Pradesh,India, 30-11-2021, M,13.78,1881626,34.83,North,31.1048,77.1734
Himachal Pradesh,India, 31-12-2021, M,9.37,1957488,34.42,North,31.1048,77.1734
Himachal Pradesh,India, 31-01-2022, M,13.81,1822901,33.65,North,31.1048,77.1734
Himachal Pradesh,India, 28-02-2022, M,11.79,1794606,32.32,North,31.1048,77.1734
Himachal Pradesh,India, 31-03-2022, M,11.69,1711147,30.73,North,31.1048,77.1734
Himachal Pradesh,India, 30-04-2022, M,0.22,1908765,30.29,North,31.1048,77.1734
Jammu & Kashmir,India, 31-05-2017, M,10.16,3181602,36.55,North,33.2778,75.3412
Jammu & Kashmir,India, 30-06-2017, M,11.86,3503726,40.94,North,33.2778,75.3412
Jammu & Kashmir,India, 31-07-2017, M,7.57,3208853,35.67,North,33.2778,75.3412
Jammu & Kashmir,India, 31-08-2017, M,7.33,3773189,41.75,North,33.2778,75.3412
Jammu & Kashmir,India, 30-09-2017, M,12.56,3548680,41.53,North,33.2778,75.3412
Jammu & Kashmir,India, 31-10-2017, M,12.8,3565494,41.75,North,33.2778,75.3412
Jammu & Kashmir,India, 30-11-2017, M,12.93,3598156,42.11,North,33.2778,75.3412
Jammu & Kashmir,India, 31-12-2017, M,13.96,3730554,44.08,North,33.2778,75.3412
Jammu & Kashmir,India, 31-01-2018, M,9.97,3583828,40.39,North,33.2778,75.3412
Jammu & Kashmir,India, 28-02-2018, M,15.13,3421905,40.83,North,33.2778,75.3412
Jammu & Kashmir,India, 31-03-2018, M,14,3645677,42.83,North,33.2778,75.3412
Jammu & Kashmir,India, 30-04-2018, M,10.7,3795073,42.85,North,33.2778,75.3412
Jammu & Kashmir,India, 31-05-2018, M,9.67,3637496,40.52,North,33.2778,75.3412
Jammu & Kashmir,India, 30-06-2018, M,13.16,3412005,39.45,North,33.2778,75.3412
Jammu & Kashmir,India, 31-07-2018, M,10.04,3627060,40.4,North,33.2778,75.3412
Jammu & Kashmir,India, 31-08-2018, M,7.95,3762614,40.87,North,33.2778,75.3412
Jammu & Kashmir,India, 30-09-2018, M,13.21,3551156,40.82,North,33.2778,75.3412
Jammu & Kashmir,India, 31-10-2018, M,14.58,3277483,38.2,North,33.2778,75.3412
Jammu & Kashmir,India, 30-11-2018, M,11.15,3529595,39.47,North,33.2778,75.3412
Jammu & Kashmir,India, 31-12-2018, M,9.08,3675581,40.08,North,33.2778,75.3412
Jammu & Kashmir,India, 31-01-2019, M,17.1,3596568,42.92,North,33.2778,75.3412
Jammu & Kashmir,India, 28-02-2019, M,15.23,3482740,40.56,North,33.2778,75.3412
Jammu & Kashmir,India, 31-03-2019, M,15.15,3711176,43.09,North,33.2778,75.3412
Jammu & Kashmir,India, 30-04-2019, M,10.62,3894195,42.84,North,33.2778,75.3412
Jammu & Kashmir,India, 31-05-2019, M,16.26,3625325,42.47,North,33.2778,75.3412
Jammu & Kashmir,India, 30-06-2019, M,14.74,3563557,40.92,North,33.2778,75.3412
Jammu & Kashmir,India, 31-07-2019, M,16.34,3733085,43.59,North,33.2778,75.3412
Jammu & Kashmir,India, 31-08-2019, M,22.45,3411463,42.88,North,33.2778,75.3412
Jammu & Kashmir,India, 30-09-2019, M,19.87,3365012,40.85,North,33.2778,75.3412
Jammu & Kashmir,India, 31-10-2019, M,20.73,3506707,42.94,North,33.2778,75.3412
Jammu & Kashmir,India, 30-11-2019, M,14.58,3642517,41.31,North,33.2778,75.3412
Jammu & Kashmir,India, 31-12-2019, M,12.48,4574768,50.52,North,33.2778,75.3412
Jammu & Kashmir,India, 31-01-2020, M,21.08,3453025,42.2,North,33.2778,75.3412
Jammu & Kashmir,India, 29-02-2020, M,20.78,3223513,39.17,North,33.2778,75.3412
Jammu & Kashmir,India, 31-03-2020, M,15.5,3359107,38.18,North,33.2778,75.3412
Jammu & Kashmir,India, 31-05-2020, M,18.74,3246493,38.21,North,33.2778,75.3412
Jammu & Kashmir,India, 30-06-2020, M,17.92,3202336,37.24,North,33.2778,75.3412
Jammu & Kashmir,India, 31-07-2020, M,10.88,3558889,38.03,North,33.2778,75.3412
Jammu & Kashmir,India, 31-08-2020, M,11.09,3429950,36.66,North,33.2778,75.3412
Jammu & Kashmir,India, 30-09-2020, M,16.17,3210281,36.31,North,33.2778,75.3412
Jammu & Kashmir,India, 31-10-2020, M,16.14,3106691,35.05,North,33.2778,75.3412
Jammu & Kashmir,India, 30-11-2020, M,8.55,3105513,32.07,North,33.2778,75.3412
Jammu & Kashmir,India, 31-12-2020, M,16.61,3333288,37.67,North,33.2778,75.3412
Jammu & Kashmir,India, 31-01-2021, M,21.9,3308895,39.83,North,33.2778,75.3412
Jammu & Kashmir,India, 28-02-2021, M,14.21,3075564,33.64,North,33.2778,75.3412
Jammu & Kashmir,India, 31-03-2021, M,9.53,2994081,30.99,North,33.2778,75.3412
Jammu & Kashmir,India, 30-04-2021, M,11.45,3578310,37.76,North,33.2778,75.3412
Jammu & Kashmir,India, 31-05-2021, M,11.92,3494510,36.99,North,33.2778,75.3412
Jammu & Kashmir,India, 30-06-2021, M,10.57,3273797,34.06,North,33.2778,75.3412
Jammu & Kashmir,India, 31-07-2021, M,15.4,3383418,37.13,North,33.2778,75.3412
Jammu & Kashmir,India, 31-08-2021, M,13.57,3518412,37.72,North,33.2778,75.3412
Jammu & Kashmir,India, 30-09-2021, M,21.45,3335458,39.25,North,33.2778,75.3412
Jammu & Kashmir,India, 31-10-2021, M,22.2,3185277,37.77,North,33.2778,75.3412
Jammu & Kashmir,India, 30-11-2021, M,21.17,3480110,40.64,North,33.2778,75.3412
Jammu & Kashmir,India, 31-12-2021, M,15.03,3759129,40.64,North,33.2778,75.3412
Jammu & Kashmir,India, 31-01-2022, M,15.19,3344297,36.14,North,33.2778,75.3412
Jammu & Kashmir,India, 28-02-2022, M,13.17,3282942,34.59,North,33.2778,75.3412
Jammu & Kashmir,India, 31-03-2022, M,25.01,3358617,40.88,North,33.2778,75.3412
Jammu & Kashmir,India, 30-04-2022, M,15.64,3420154,36.93,North,33.2778,75.3412
Jharkhand,India, 31-05-2017, M,2.41,9573732,39.58,East,23.6102,85.2799
Jharkhand,India, 30-06-2017, M,4.34,9788865,41.2,East,23.6102,85.2799
Jharkhand,India, 31-07-2017, M,1.58,9133860,37.28,East,23.6102,85.2799
Jharkhand,India, 31-08-2017, M,3.26,9650850,39.99,East,23.6102,85.2799
Jharkhand,India, 30-09-2017, M,8.51,9575924,41.86,East,23.6102,85.2799
Jharkhand,India, 31-10-2017, M,8.24,9721064,42.28,East,23.6102,85.2799
Jharkhand,India, 30-11-2017, M,7.06,9193133,39.39,East,23.6102,85.2799
Jharkhand,India, 31-12-2017, M,8.35,9572381,41.5,East,23.6102,85.2799
Jharkhand,India, 31-01-2018, M,6.42,9545848,40.44,East,23.6102,85.2799
Jharkhand,India, 28-02-2018, M,6.97,9813756,41.74,East,23.6102,85.2799
Jharkhand,India, 31-03-2018, M,7.82,9309075,39.87,East,23.6102,85.2799
Jharkhand,India, 30-04-2018, M,10.73,9270173,40.91,East,23.6102,85.2799
Jharkhand,India, 31-05-2018, M,9.52,9546415,41.47,East,23.6102,85.2799
Jharkhand,India, 30-06-2018, M,7.98,9648983,41.13,East,23.6102,85.2799
Jharkhand,India, 31-07-2018, M,10.62,9319492,40.8,East,23.6102,85.2799
Jharkhand,India, 31-08-2018, M,9.6,9368066,40.46,East,23.6102,85.2799
Jharkhand,India, 30-09-2018, M,8.5,9542917,40.63,East,23.6102,85.2799
Jharkhand,India, 31-10-2018, M,7.79,9872147,41.62,East,23.6102,85.2799
Jharkhand,India, 30-11-2018, M,10.41,9276203,40.17,East,23.6102,85.2799
Jharkhand,India, 31-12-2018, M,11.56,9318697,40.78,East,23.6102,85.2799
Jharkhand,India, 31-01-2019, M,9.05,9492973,40.31,East,23.6102,85.2799
Jharkhand,India, 28-02-2019, M,6.88,9992862,41.36,East,23.6102,85.2799
Jharkhand,India, 31-03-2019, M,13.58,9188910,40.89,East,23.6102,85.2799
Jharkhand,India, 30-04-2019, M,12.23,9570966,41.84,East,23.6102,85.2799
Jharkhand,India, 31-05-2019, M,9.92,9439796,40.12,East,23.6102,85.2799
Jharkhand,India, 30-06-2019, M,11.69,9646693,41.74,East,23.6102,85.2799
Jharkhand,India, 31-07-2019, M,11.53,9392979,40.47,East,23.6102,85.2799
Jharkhand,India, 31-08-2019, M,14.26,9350763,41.48,East,23.6102,85.2799
Jharkhand,India, 30-09-2019, M,10.31,10030750,42.45,East,23.6102,85.2799
Jharkhand,India, 31-10-2019, M,9.92,10221435,42.97,East,23.6102,85.2799
Jharkhand,India, 30-11-2019, M,10.57,9703914,41,East,23.6102,85.2799
Jharkhand,India, 31-12-2019, M,16.98,9163609,41.62,East,23.6102,85.2799
Jharkhand,India, 31-01-2020, M,10.61,10198029,42.92,East,23.6102,85.2799
Jharkhand,India, 29-02-2020, M,11.85,10425425,44.4,East,23.6102,85.2799
Jharkhand,India, 31-03-2020, M,8.23,9638115,39.34,East,23.6102,85.2799
Jharkhand,India, 30-04-2020, M,47.09,5335262,37.69,East,23.6102,85.2799
Jharkhand,India, 31-05-2020, M,59.23,4145385,37.92,East,23.6102,85.2799
Jharkhand,India, 30-06-2020, M,20.95,8622722,40.59,East,23.6102,85.2799
Jharkhand,India, 31-07-2020, M,7.63,9521900,38.27,East,23.6102,85.2799
Jharkhand,India, 31-08-2020, M,9.76,9331640,38.31,East,23.6102,85.2799
Jharkhand,India, 30-09-2020, M,9.28,9980378,40.67,East,23.6102,85.2799
Jharkhand,India, 31-10-2020, M,11.8,10302276,43.08,East,23.6102,85.2799
Jharkhand,India, 30-11-2020, M,9.54,9574705,38.96,East,23.6102,85.2799
Jharkhand,India, 31-12-2020, M,12.4,9652716,40.47,East,23.6102,85.2799
Jharkhand,India, 31-01-2021, M,11.31,10005873,41.34,East,23.6102,85.2799
Jharkhand,India, 28-02-2021, M,12.17,10198512,42.46,East,23.6102,85.2799
Jharkhand,India, 31-03-2021, M,12.75,9655793,40.38,East,23.6102,85.2799
Jharkhand,India, 30-04-2021, M,16.48,9559528,41.67,East,23.6102,85.2799
Jharkhand,India, 31-05-2021, M,15.96,9288715,40.15,East,23.6102,85.2799
Jharkhand,India, 30-06-2021, M,12.74,10751681,44.67,East,23.6102,85.2799
Jharkhand,India, 31-07-2021, M,9.4,10261921,40.97,East,23.6102,85.2799
Jharkhand,India, 31-08-2021, M,15.96,9916315,42.58,East,23.6102,85.2799
Jharkhand,India, 30-09-2021, M,13.1,9911480,41.07,East,23.6102,85.2799
Jharkhand,India, 31-10-2021, M,18.1,9915511,43.5,East,23.6102,85.2799
Jharkhand,India, 30-11-2021, M,11.17,10028822,40.47,East,23.6102,85.2799
Jharkhand,India, 31-12-2021, M,17.3,9843649,42.58,East,23.6102,85.2799
Jharkhand,India, 31-01-2022, M,8.95,10473498,41.06,East,23.6102,85.2799
Jharkhand,India, 28-02-2022, M,14.97,10398909,43.56,East,23.6102,85.2799
Jharkhand,India, 31-03-2022, M,14.46,9832141,40.85,East,23.6102,85.2799
Jharkhand,India, 30-04-2022, M,14.16,10076823,41.63,East,23.6102,85.2799
Karnataka,India, 31-05-2017, M,1.32,24589723,47.93,South,15.3173,75.7139
Karnataka,India, 30-06-2017, M,1.27,23376442,45.46,South,15.3173,75.7139
Karnataka,India, 31-07-2017, M,1.34,22164647,43.04,South,15.3173,75.7139
Karnataka,India, 31-08-2017, M,1.04,25540685,49.35,South,15.3173,75.7139
Karnataka,India, 30-09-2017, M,1.82,24088961,46.83,South,15.3173,75.7139
Karnataka,India, 31-10-2017, M,1.27,24517534,47.3,South,15.3173,75.7139
Karnataka,India, 30-11-2017, M,1.39,23710131,45.71,South,15.3173,75.7139
Karnataka,India, 31-12-2017, M,2.63,23302782,45.4,South,15.3173,75.7139
Karnataka,India, 31-01-2018, M,1.79,24678751,47.58,South,15.3173,75.7139
Karnataka,India, 28-02-2018, M,3.32,23921489,46.76,South,15.3173,75.7139
Karnataka,India, 31-03-2018, M,3.97,22842923,44.87,South,15.3173,75.7139
Karnataka,India, 30-04-2018, M,2.28,23084607,44.47,South,15.3173,75.7139
Karnataka,India, 31-05-2018, M,1.64,24285788,46.39,South,15.3173,75.7139
Karnataka,India, 30-06-2018, M,2.87,24102028,46.53,South,15.3173,75.7139
Karnataka,India, 31-07-2018, M,2.36,22160737,42.47,South,15.3173,75.7139
Karnataka,India, 31-08-2018, M,1.46,22673269,42.97,South,15.3173,75.7139
Karnataka,India, 30-09-2018, M,1.21,23461519,44.27,South,15.3173,75.7139
Karnataka,India, 31-10-2018, M,2.11,23126629,43.95,South,15.3173,75.7139
Karnataka,India, 30-11-2018, M,1.48,21787403,41.06,South,15.3173,75.7139
Karnataka,India, 31-12-2018, M,1.22,21631436,40.58,South,15.3173,75.7139
Karnataka,India, 31-01-2019, M,1.49,23072967,43.32,South,15.3173,75.7139
Karnataka,India, 28-02-2019, M,2,22550688,42.48,South,15.3173,75.7139
Karnataka,India, 31-03-2019, M,1.29,20755789,38.74,South,15.3173,75.7139
Karnataka,India, 30-04-2019, M,0.53,21180297,39.15,South,15.3173,75.7139
Karnataka,India, 31-05-2019, M,5.88,22549687,43.96,South,15.3173,75.7139
Karnataka,India, 30-06-2019, M,5.58,21750997,42.19,South,15.3173,75.7139
Karnataka,India, 31-07-2019, M,1.26,20907836,38.7,South,15.3173,75.7139
Karnataka,India, 31-08-2019, M,0.74,21300805,39.14,South,15.3173,75.7139
Karnataka,India, 30-09-2019, M,3.31,22397436,42.17,South,15.3173,75.7139
Karnataka,India, 31-10-2019, M,5.83,21602775,41.68,South,15.3173,75.7139
Karnataka,India, 30-11-2019, M,2.16,20151048,37.35,South,15.3173,75.7139
Karnataka,India, 31-12-2019, M,0.88,21348507,38.98,South,15.3173,75.7139
Karnataka,India, 31-01-2020, M,2.86,22688028,42.18,South,15.3173,75.7139
Karnataka,India, 29-02-2020, M,3.61,21677719,40.54,South,15.3173,75.7139
Karnataka,India, 31-03-2020, M,3.46,22079653,41.14,South,15.3173,75.7139
Karnataka,India, 30-04-2020, M,29.84,16718395,42.78,South,15.3173,75.7139
Karnataka,India, 31-05-2020, M,19.97,19397853,43.43,South,15.3173,75.7139
Karnataka,India, 30-06-2020, M,8.44,24215057,47.29,South,15.3173,75.7139
Karnataka,India, 31-07-2020, M,4.01,22885616,42.55,South,15.3173,75.7139
Karnataka,India, 31-08-2020, M,0.5,24094289,43.13,South,15.3173,75.7139
Karnataka,India, 30-09-2020, M,2.4,20131894,36.67,South,15.3173,75.7139
Karnataka,India, 31-10-2020, M,1.58,22349602,40.28,South,15.3173,75.7139
Karnataka,India, 30-11-2020, M,1.86,21714939,39.18,South,15.3173,75.7139
Karnataka,India, 31-12-2020, M,1.39,22393716,40.13,South,15.3173,75.7139
Karnataka,India, 31-01-2021, M,3.28,21869339,39.87,South,15.3173,75.7139
Karnataka,India, 28-02-2021, M,2.5,22537746,40.69,South,15.3173,75.7139
Karnataka,India, 31-03-2021, M,1.16,21854018,38.84,South,15.3173,75.7139
Karnataka,India, 30-04-2021, M,2.03,23110478,41.36,South,15.3173,75.7139
Karnataka,India, 31-05-2021, M,5.27,23612747,43.61,South,15.3173,75.7139
Karnataka,India, 30-06-2021, M,5.55,22953054,42.43,South,15.3173,75.7139
Karnataka,India, 31-07-2021, M,2.05,22332124,39.73,South,15.3173,75.7139
Karnataka,India, 31-08-2021, M,1.49,22829342,40.3,South,15.3173,75.7139
Karnataka,India, 30-09-2021, M,3.12,22163002,39.71,South,15.3173,75.7139
Karnataka,India, 31-10-2021, M,1.51,24643524,43.34,South,15.3173,75.7139
Karnataka,India, 30-11-2021, M,2.77,20836015,37.05,South,15.3173,75.7139
Karnataka,India, 31-12-2021, M,1.44,22266608,38.98,South,15.3173,75.7139
Karnataka,India, 31-01-2022, M,2.88,21975083,38.96,South,15.3173,75.7139
Karnataka,India, 28-02-2022, M,1.98,23873003,41.86,South,15.3173,75.7139
Karnataka,India, 31-03-2022, M,1.84,22451982,39.23,South,15.3173,75.7139
Karnataka,India, 30-04-2022, M,2.71,22066947,38.82,South,15.3173,75.7139
Kerala,India, 31-05-2017, M,7.82,9639045,38.22,South,10.8505,76.2711
Kerala,India, 30-06-2017, M,7.01,9881536,38.8,South,10.8505,76.2711
Kerala,India, 31-07-2017, M,8.28,9474521,37.68,South,10.8505,76.2711
Kerala,India, 31-08-2017, M,6.01,9962805,38.63,South,10.8505,76.2711
Kerala,India, 30-09-2017, M,4.37,9643099,36.72,South,10.8505,76.2711
Kerala,India, 31-10-2017, M,10.44,10057625,40.86,South,10.8505,76.2711
Kerala,India, 30-11-2017, M,10.97,9365767,38.24,South,10.8505,76.2711
Kerala,India, 31-12-2017, M,11.21,9690563,39.63,South,10.8505,76.2711
Kerala,India, 31-01-2018, M,6.88,9683946,37.73,South,10.8505,76.2711
Kerala,India, 28-02-2018, M,8.27,10235045,40.44,South,10.8505,76.2711
Kerala,India, 31-03-2018, M,9.8,9504738,38.16,South,10.8505,76.2711
Kerala,India, 30-04-2018, M,6.67,9749554,37.79,South,10.8505,76.2711
Kerala,India, 31-05-2018, M,5.67,9778798,37.47,South,10.8505,76.2711
Kerala,India, 30-06-2018, M,8.9,10146010,40.22,South,10.8505,76.2711
Kerala,India, 31-07-2018, M,7.22,9596346,37.32,South,10.8505,76.2711
Kerala,India, 31-08-2018, M,10.41,7768045,31.26,South,10.8505,76.2711
Kerala,India, 30-09-2018, M,4.26,9789238,36.82,South,10.8505,76.2711
Kerala,India, 31-10-2018, M,7.22,10013232,38.83,South,10.8505,76.2711
Kerala,India, 30-11-2018, M,6.26,9229128,35.39,South,10.8505,76.2711
Kerala,India, 31-12-2018, M,8.26,9370914,36.69,South,10.8505,76.2711
Kerala,India, 31-01-2019, M,6.62,9860216,37.89,South,10.8505,76.2711
Kerala,India, 28-02-2019, M,7.41,10137150,39.25,South,10.8505,76.2711
Kerala,India, 31-03-2019, M,6.41,8985355,34.39,South,10.8505,76.2711
Kerala,India, 30-04-2019, M,8.79,9626201,37.77,South,10.8505,76.2711
Kerala,India, 31-05-2019, M,6.39,9790265,37.39,South,10.8505,76.2711
Kerala,India, 30-06-2019, M,7.95,10283997,39.91,South,10.8505,76.2711
Kerala,India, 31-07-2019, M,6.18,8960603,34.08,South,10.8505,76.2711
Kerala,India, 31-08-2019, M,9.13,9682099,37.99,South,10.8505,76.2711
Kerala,India, 30-09-2019, M,5.43,10041141,37.82,South,10.8505,76.2711
Kerala,India, 31-10-2019, M,7.41,9973336,38.33,South,10.8505,76.2711
Kerala,India, 30-11-2019, M,5.81,8620674,32.54,South,10.8505,76.2711
Kerala,India, 31-12-2019, M,9.19,9506092,37.18,South,10.8505,76.2711
Kerala,India, 31-01-2020, M,5.31,9904534,37.12,South,10.8505,76.2711
Kerala,India, 29-02-2020, M,7.6,9828023,37.71,South,10.8505,76.2711
Kerala,India, 31-03-2020, M,8.99,8221728,32,South,10.8505,76.2711
Kerala,India, 30-04-2020, M,16.99,3933276,16.77,South,10.8505,76.2711
Kerala,India, 31-05-2020, M,17.88,7921962,34.11,South,10.8505,76.2711
Kerala,India, 30-06-2020, M,9.71,9228268,36.11,South,10.8505,76.2711
Kerala,India, 31-07-2020, M,7.09,9504420,36.1,South,10.8505,76.2711
Kerala,India, 31-08-2020, M,10.98,9031944,35.78,South,10.8505,76.2711
Kerala,India, 30-09-2020, M,5.91,9240913,34.6,South,10.8505,76.2711
Kerala,India, 31-10-2020, M,3.88,9152881,33.52,South,10.8505,76.2711
Kerala,India, 30-11-2020, M,5.83,8472442,31.64,South,10.8505,76.2711
Kerala,India, 31-12-2020, M,6.45,9556138,35.89,South,10.8505,76.2711
Kerala,India, 31-01-2021, M,5.46,9264917,34.39,South,10.8505,76.2711
Kerala,India, 28-02-2021, M,4.3,9336761,34.21,South,10.8505,76.2711
Kerala,India, 31-03-2021, M,5.9,8804500,32.78,South,10.8505,76.2711
Kerala,India, 30-04-2021, M,7.52,9603392,36.35,South,10.8505,76.2711
Kerala,India, 31-05-2021, M,23.52,7458637,34.1,South,10.8505,76.2711
Kerala,India, 30-06-2021, M,15.77,7752486,32.16,South,10.8505,76.2711
Kerala,India, 31-07-2021, M,7.52,8439403,31.85,South,10.8505,76.2711
Kerala,India, 31-08-2021, M,7.81,9544849,36.11,South,10.8505,76.2711
Kerala,India, 30-09-2021, M,8.95,8971738,34.33,South,10.8505,76.2711
Kerala,India, 31-10-2021, M,5.39,9625925,35.42,South,10.8505,76.2711
Kerala,India, 30-11-2021, M,7.09,8885861,33.26,South,10.8505,76.2711
Kerala,India, 31-12-2021, M,6.69,9872876,36.76,South,10.8505,76.2711
Kerala,India, 31-01-2022, M,4.95,9215981,33.66,South,10.8505,76.2711
Kerala,India, 28-02-2022, M,4.95,9665889,35.27,South,10.8505,76.2711
Kerala,India, 31-03-2022, M,6.74,9066457,33.68,South,10.8505,76.2711
Kerala,India, 30-04-2022, M,5.84,9688763,35.62,South,10.8505,76.2711
Madhya Pradesh,India, 31-05-2017, M,2.02,23569924,42.37,Central,22.9734,78.6569
Madhya Pradesh,India, 30-06-2017, M,1.54,24586573,43.88,Central,22.9734,78.6569
Madhya Pradesh,India, 31-07-2017, M,1.18,23801483,42.23,Central,22.9734,78.6569
Madhya Pradesh,India, 31-08-2017, M,1.33,21899358,38.83,Central,22.9734,78.6569
Madhya Pradesh,India, 30-09-2017, M,1.27,23015166,40.7,Central,22.9734,78.6569
Madhya Pradesh,India, 31-10-2017, M,1.64,22376267,39.63,Central,22.9734,78.6569
Madhya Pradesh,India, 30-11-2017, M,4.34,22191934,40.32,Central,22.9734,78.6569
Madhya Pradesh,India, 31-12-2017, M,2.6,23580932,41.99,Central,22.9734,78.6569
Madhya Pradesh,India, 31-01-2018, M,2.98,21933653,39.12,Central,22.9734,78.6569
Madhya Pradesh,India, 28-02-2018, M,2.78,22532271,40.03,Central,22.9734,78.6569
Madhya Pradesh,India, 31-03-2018, M,5,22556962,40.91,Central,22.9734,78.6569
Madhya Pradesh,India, 30-04-2018, M,3.18,22954705,40.77,Central,22.9734,78.6569
Madhya Pradesh,India, 31-05-2018, M,2.02,21790698,38.16,Central,22.9734,78.6569
Madhya Pradesh,India, 30-06-2018, M,2.59,22011650,38.68,Central,22.9734,78.6569
Madhya Pradesh,India, 31-07-2018, M,4.24,22106279,39.43,Central,22.9734,78.6569
Madhya Pradesh,India, 31-08-2018, M,6.21,23016950,41.83,Central,22.9734,78.6569
Madhya Pradesh,India, 30-09-2018, M,3.64,21613322,38.14,Central,22.9734,78.6569
Madhya Pradesh,India, 31-10-2018, M,7.29,21424091,39.21,Central,22.9734,78.6569
Madhya Pradesh,India, 30-11-2018, M,6.53,21490622,38.93,Central,22.9734,78.6569
Madhya Pradesh,India, 31-12-2018, M,6.98,22190073,40.3,Central,22.9734,78.6569
Madhya Pradesh,India, 31-01-2019, M,4.76,21924819,38.81,Central,22.9734,78.6569
Madhya Pradesh,India, 28-02-2019, M,6.47,22356536,40.21,Central,22.9734,78.6569
Madhya Pradesh,India, 31-03-2019, M,5.4,22063401,39.15,Central,22.9734,78.6569
Madhya Pradesh,India, 30-04-2019, M,6.47,22362845,40.05,Central,22.9734,78.6569
Madhya Pradesh,India, 31-05-2019, M,3.72,22042549,38.26,Central,22.9734,78.6569
Madhya Pradesh,India, 30-06-2019, M,4.86,22804132,39.97,Central,22.9734,78.6569
Madhya Pradesh,India, 31-07-2019, M,4.91,22541149,39.44,Central,22.9734,78.6569
Madhya Pradesh,India, 31-08-2019, M,5.5,23368979,41.06,Central,22.9734,78.6569
Madhya Pradesh,India, 30-09-2019, M,4.37,22882648,39.64,Central,22.9734,78.6569
Madhya Pradesh,India, 31-10-2019, M,3.38,23664352,40.49,Central,22.9734,78.6569
Madhya Pradesh,India, 30-11-2019, M,3.69,22765882,38.99,Central,22.9734,78.6569
Madhya Pradesh,India, 31-12-2019, M,3.9,23642051,40.49,Central,22.9734,78.6569
Madhya Pradesh,India, 31-01-2020, M,4.11,23018632,39.42,Central,22.9734,78.6569
Madhya Pradesh,India, 29-02-2020, M,4.57,22711479,39,Central,22.9734,78.6569
